Region/Country/Area,Year,Series,Value,Footnotes,Source
Guyana,2017,"Intentional homicide rates per 100,000",14.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2017,"Percentage of male and female intentional homicide victims, Male",24.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2017,"Percentage of male and female intentional homicide victims, Female",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2017,"Assault rate per 100,000 population",271.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2017,"Kidnapping at the national level, rate per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2017,"Robbery at the national level, rate per 100,000 population",161.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2017,"Total Sexual Violence at the national level, rate per 100,000",31.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2018,"Intentional homicide rates per 100,000",14.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2018,"Percentage of male and female intentional homicide victims, Male",22.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2018,"Percentage of male and female intentional homicide victims, Female",5.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2018,"Assault rate per 100,000 population",67.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2018,"Kidnapping at the national level, rate per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Guyana,2018,"Theft at the national level, rate per 100,000 population",180.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Haiti,2010,"Intentional homicide rates per 100,000",6.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Haiti,2018,"Intentional homicide rates per 100,000",6.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Haiti,2018,"Percentage of male and female intentional homicide victims, Male",12.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Haiti,2018,"Percentage of male and female intentional homicide victims, Female",1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Haiti,2018,"Assault rate per 100,000 population",11.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Haiti,2018,"Kidnapping at the national level, rate per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2010,"Intentional homicide rates per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2010,"Percentage of male and female intentional homicide victims, Male",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2010,"Percentage of male and female intentional homicide victims, Female",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2010,"Assault rate per 100,000 population",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2010,"Kidnapping at the national level, rate per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2010,"Theft at the national level, rate per 100,000 population",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2010,"Robbery at the national level, rate per 100,000 population",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2010,"Total Sexual Violence at the national level, rate per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2015,"Intentional homicide rates per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2015,"Percentage of male and female intentional homicide victims, Male",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2015,"Percentage of male and female intentional homicide victims, Female",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2015,"Assault rate per 100,000 population",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2015,"Kidnapping at the national level, rate per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2015,"Theft at the national level, rate per 100,000 population",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2015,"Robbery at the national level, rate per 100,000 population",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Holy See,2015,"Total Sexual Violence at the national level, rate per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2005,"Intentional homicide rates per 100,000",43.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2010,"Intentional homicide rates per 100,000",75,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2010,"Percentage of male and female intentional homicide victims, Male",141,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2010,"Percentage of male and female intentional homicide victims, Female",9.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2010,"Theft at the national level, rate per 100,000 population",53.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2017,"Intentional homicide rates per 100,000",41,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2017,"Percentage of male and female intentional homicide victims, Male",73.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2017,"Percentage of male and female intentional homicide victims, Female",8.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2017,"Assault rate per 100,000 population",21.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2017,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2017,"Robbery at the national level, rate per 100,000 population",120.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2017,"Total Sexual Violence at the national level, rate per 100,000",15.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2018,"Intentional homicide rates per 100,000",38.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2018,"Percentage of male and female intentional homicide victims, Male",70.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2018,"Percentage of male and female intentional homicide victims, Female",7.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2018,"Assault rate per 100,000 population",24.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2018,"Kidnapping at the national level, rate per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Honduras,2018,"Theft at the national level, rate per 100,000 population",40.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2005,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2005,"Percentage of male and female intentional homicide victims, Male",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2005,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2005,"Assault rate per 100,000 population",122.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2005,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2005,"Theft at the national level, rate per 100,000 population","1,251.80",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2005,"Total Sexual Violence at the national level, rate per 100,000",8.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2010,"Intentional homicide rates per 100,000",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2010,"Percentage of male and female intentional homicide victims, Male",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2010,"Percentage of male and female intentional homicide victims, Female",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2010,"Assault rate per 100,000 population",146.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2010,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2010,"Theft at the national level, rate per 100,000 population","1,351.80",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2010,"Robbery at the national level, rate per 100,000 population",34.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2010,"Total Sexual Violence at the national level, rate per 100,000",13,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2014,"Intentional homicide rates per 100,000",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2014,"Percentage of male and female intentional homicide victims, Male",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2014,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2014,"Assault rate per 100,000 population",137.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2014,"Kidnapping at the national level, rate per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2014,"Theft at the national level, rate per 100,000 population","1,090.70",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2014,"Robbery at the national level, rate per 100,000 population",19.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2014,"Total Sexual Violence at the national level, rate per 100,000",7.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2017,"Intentional homicide rates per 100,000",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2017,"Percentage of male and female intentional homicide victims, Male",3.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2017,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2017,"Kidnapping at the national level, rate per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2017,"Theft at the national level, rate per 100,000 population",825.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2017,"Robbery at the national level, rate per 100,000 population",8.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2017,"Total Sexual Violence at the national level, rate per 100,000",6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2018,"Kidnapping at the national level, rate per 100,000",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Hungary,2018,"Theft at the national level, rate per 100,000 population",633.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2005,"Intentional homicide rates per 100,000",1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2005,"Percentage of male and female intentional homicide victims, Male",2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2005,"Percentage of male and female intentional homicide victims, Female",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2005,"Theft at the national level, rate per 100,000 population","1,078.40",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2005,"Total Sexual Violence at the national level, rate per 100,000",97.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2010,"Intentional homicide rates per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2010,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2010,"Percentage of male and female intentional homicide victims, Female",0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2010,"Assault rate per 100,000 population",17.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2010,"Theft at the national level, rate per 100,000 population","1,535.90",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2010,"Robbery at the national level, rate per 100,000 population",13.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2010,"Total Sexual Violence at the national level, rate per 100,000",67.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2017,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2017,"Percentage of male and female intentional homicide victims, Male",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2017,"Percentage of male and female intentional homicide victims, Female",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2017,"Assault rate per 100,000 population",30.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2017,"Theft at the national level, rate per 100,000 population","1,143.00",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2017,"Robbery at the national level, rate per 100,000 population",14.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2017,"Total Sexual Violence at the national level, rate per 100,000",142.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2018,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2018,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2018,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2018,"Assault rate per 100,000 population",36.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iceland,2018,"Theft at the national level, rate per 100,000 population",975.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2005,"Intentional homicide rates per 100,000",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2005,"Percentage of male and female intentional homicide victims, Male",5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2005,"Percentage of male and female intentional homicide victims, Female",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2005,"Assault rate per 100,000 population",23.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2005,"Kidnapping at the national level, rate per 100,000",2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2005,"Theft at the national level, rate per 100,000 population",23.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2005,"Total Sexual Violence at the national level, rate per 100,000",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2010,"Intentional homicide rates per 100,000",3.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2010,"Percentage of male and female intentional homicide victims, Male",4.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2010,"Percentage of male and female intentional homicide victims, Female",3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2010,"Assault rate per 100,000 population",23.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2010,"Kidnapping at the national level, rate per 100,000",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2010,"Theft at the national level, rate per 100,000 population",26.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2010,"Robbery at the national level, rate per 100,000 population",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2010,"Total Sexual Violence at the national level, rate per 100,000",5.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2013,"Intentional homicide rates per 100,000",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2013,"Percentage of male and female intentional homicide victims, Male",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2013,"Percentage of male and female intentional homicide victims, Female",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2013,"Assault rate per 100,000 population",26.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2013,"Kidnapping at the national level, rate per 100,000",5.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2013,"Theft at the national level, rate per 100,000 population",29.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2013,"Robbery at the national level, rate per 100,000 population",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2013,"Total Sexual Violence at the national level, rate per 100,000",9.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2018,"Intentional homicide rates per 100,000",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2018,"Percentage of male and female intentional homicide victims, Male",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
India,2018,"Percentage of male and female intentional homicide victims, Female",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2004,"Intentional homicide rates per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2010,"Intentional homicide rates per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2010,"Assault rate per 100,000 population",13.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2010,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2010,"Theft at the national level, rate per 100,000 population",10.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2010,"Robbery at the national level, rate per 100,000 population",4.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2017,"Intentional homicide rates per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2017,"Assault rate per 100,000 population",4.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2017,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2017,"Theft at the national level, rate per 100,000 population",24,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2017,"Robbery at the national level, rate per 100,000 population",4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2017,"Total Sexual Violence at the national level, rate per 100,000",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2018,"Assault rate per 100,000 population",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2018,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Indonesia,2018,"Theft at the national level, rate per 100,000 population",19.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iran (Islamic Republic of),2004,"Intentional homicide rates per 100,000",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iran (Islamic Republic of),2004,"Theft at the national level, rate per 100,000 population",159.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iran (Islamic Republic of),2009,"Intentional homicide rates per 100,000",3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iran (Islamic Republic of),2014,"Intentional homicide rates per 100,000",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iran (Islamic Republic of),2014,"Percentage of male and female intentional homicide victims, Male",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iran (Islamic Republic of),2014,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iraq,2010,"Intentional homicide rates per 100,000",9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iraq,2010,"Percentage of male and female intentional homicide victims, Male",14.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iraq,2010,"Percentage of male and female intentional homicide victims, Female",3.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iraq,2013,"Intentional homicide rates per 100,000",10.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iraq,2013,"Percentage of male and female intentional homicide victims, Male",16.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Iraq,2013,"Percentage of male and female intentional homicide victims, Female",3.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2005,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2005,"Percentage of male and female intentional homicide victims, Male",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2005,"Percentage of male and female intentional homicide victims, Female",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2005,"Assault rate per 100,000 population",301.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2005,"Kidnapping at the national level, rate per 100,000",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2005,"Theft at the national level, rate per 100,000 population","1,421.80",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2005,"Total Sexual Violence at the national level, rate per 100,000",43.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2010,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2010,"Percentage of male and female intentional homicide victims, Male",2.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2010,"Percentage of male and female intentional homicide victims, Female",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2010,"Assault rate per 100,000 population",330.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2010,"Kidnapping at the national level, rate per 100,000",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2010,"Theft at the national level, rate per 100,000 population","1,436.30",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2010,"Robbery at the national level, rate per 100,000 population",70.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
Ireland,2010,"Total Sexual Violence at the national level, rate per 100,000",52,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
